pH_H2O,EC,P,N,K,Elev,OC,OC_log
4.85,12.53,12.3,3.1,114.8,246,47.5,3.8815637979434374
6.81,14.46,68.0,2.0,277.2,232,18.0,2.9444389791664403
6.37,17.08,58.1,1.4,315.5,283,12.5,2.6026896854443837
7.98,23.55,17.5,2.1,329.1,136,22.9,3.173878458937465
8.09,22.61,62.2,2.9,367.8,115,29.1,3.40452517175483
8.15,30.9,22.3,2.0,220.2,140,21.8,3.126760535960395
8.3,23.16,28.4,2.7,323.3,118,30.0,3.4339872044851463
7.52,14.82,44.5,1.9,134.4,355,15.2,2.785011242238338
5.82,14.37,20.2,4.2,115.6,341,37.3,3.6454498961866
4.74,12.06,19.4,3.8,294.1,269,41.2,3.742420221041966
6.8,15.52,53.3,2.1,217.6,352,16.9,2.884800712846709
5.84,28.2,22.3,2.5,227.4,308,21.0,3.091042453358316
6.93,46.8,17.8,12.1,524.5,606,169.8,5.14049328135447
6.8,19.56,77.2,3.4,368.6,464,31.7,3.487375077903208
6.11,28.4,14.0,4.1,405.5,629,38.3,3.6712245188752153
5.57,5.88,31.4,3.0,289.3,709,30.6,3.4531571205928664
6.24,10.85,59.2,2.3,506.4,715,20.9,3.086486636822455
4.05,13.63,30.2,3.5,148.0,623,72.3,4.294560608892605
3.78,13.98,18.5,2.6,43.4,564,45.3,3.835141961092188
3.88,12.08,23.4,6.2,94.9,955,114.6,4.750135956238277
6.21,11.8,75.9,2.4,392.0,602,21.0,3.091042453358316
3.94,7.32,24.9,1.8,51.7,630,36.2,3.616308761279101
6.54,20.09,12.5,3.8,172.0,424,36.2,3.616308761279101
6.48,16.19,29.5,1.6,82.5,516,12.7,2.617395832834079
7.18,39.2,11.2,5.7,89.5,1123,162.9,5.099256485749784
5.28,14.01,23.0,1.5,156.1,591,12.9,2.631888840136646
7.23,47.1,15.9,10.0,86.3,1074,205.1,5.328361487896413
8.05,18.33,11.1,1.3,128.6,552,13.5,2.6741486494265287
6.59,9.25,17.8,1.4,96.8,466,12.1,2.5726122302071057
4.9,10.42,13.8,1.9,112.0,324,23.2,3.186352633162641
5.33,12.46,17.6,1.8,118.7,569,18.0,2.9444389791664403
6.06,14.31,42.3,2.7,92.4,313,22.0,3.1354942159291497
5.76,12.97,22.9,4.2,82.6,537,43.6,3.7977338590260183
6.32,46.3,11.5,6.3,267.8,676,82.4,4.423648309364701
6.34,15.86,35.0,3.4,55.9,409,30.4,3.4468078929142076
7.98,15.93,29.3,1.4,199.3,263,14.9,2.766319109226186
6.89,26.62,209.0,2.2,652.7,301,18.0,2.9444389791664403
6.12,12.91,16.2,2.0,82.6,521,17.9,2.9391619220655967
4.76,14.68,29.7,3.3,107.2,489,55.7,4.037774210733707
8.19,21.3,40.9,1.7,437.9,192,17.0,2.8903717578961645
7.85,27.9,104.4,1.7,477.1,221,16.5,2.8622008809294686
6.93,21.9,11.0,3.2,222.9,10444,54.7,4.019980146933238
6.34,145.6,54.9,21.2,442.9,10869,418.5,6.0390635259072605
4.97,7.6,16.4,2.8,77.8,794,29.1,3.40452517175483
8.0,20.82,36.1,1.8,498.6,351,18.1,2.9496883350525844
6.31,9.09,33.9,1.5,215.6,10470,12.4,2.5952547069568657
7.1,86.3,22.2,10.4,165.6,782,219.3,5.394990253808298
4.79,21.5,60.4,18.9,328.0,1150,481.0,6.1779441140506
6.35,23.66,40.8,2.7,202.5,253,23.4,3.1945831322991562
8.15,22.6,10.6,2.1,526.7,254,22.0,3.1354942159291497
8.02,17.76,20.6,2.1,256.6,226,18.7,2.9806186357439426
8.19,14.88,21.4,1.8,414.1,248,18.7,2.9806186357439426
5.31,26.5,59.0,17.4,244.4,10592,419.9,6.042395275776525
7.8,25.91,16.7,2.0,232.9,178,15.5,2.803360380906535
7.33,60.9,16.1,6.4,376.2,436,63.8,4.1713056033582285
7.23,77.56,35.2,6.1,88.5,586,72.1,4.291828366755733
7.71,31.59,21.5,2.4,636.4,236,21.7,3.122364924487357
5.45,38.7,42.5,3.7,110.0,700,34.9,3.580737295494233
4.74,22.0,32.3,5.3,201.2,480,75.4,4.335982696172475
8.1,24.71,17.5,1.8,302.2,260,18.3,2.9601050959108397
7.58,43.4,61.6,4.2,650.9,263,46.2,3.8543938925915096
8.24,12.48,19.1,1.8,243.9,217,19.3,3.0106208860477417
8.06,13.62,11.5,2.1,384.4,190,19.5,3.0204248861443626
8.19,22.08,14.1,1.7,255.7,281,14.5,2.740840023925201
5.77,48.37,42.4,5.6,221.3,547,49.5,3.9219733362813143
7.77,22.3,10.5,1.9,279.0,220,16.6,2.8678989020441064
7.55,20.8,16.9,1.3,139.3,179,11.4,2.517696472610991
7.87,26.0,31.4,2.4,642.0,177,28.4,3.380994674344636
7.36,15.02,33.7,1.7,285.3,188,14.5,2.740840023925201
7.81,35.0,12.7,2.6,654.1,222,23.4,3.1945831322991562
8.0,43.42,40.9,1.8,430.3,290,16.3,2.8507065015037334
8.19,16.43,11.2,1.5,147.3,248,19.8,3.0349529867072724
